Name,UMAP 1,UMAP 2
output/mlm_0_sim_cse_5/model,7.28724,8.067211
output/mlm_0_sim_cse_5/model,9.186163,8.169402
output/mlm_0_sim_cse_5/model,6.781997,10.38632
output/mlm_0_sim_cse_5/model,6.4700794,10.49147
output/mlm_0_sim_cse_5/model,10.475808,9.016188
output/mlm_0_sim_cse_5/model,10.897811,10.870725
output/mlm_0_sim_cse_5/model,6.9367995,7.9570584
output/mlm_0_sim_cse_5/model,10.654531,11.156615
output/mlm_0_sim_cse_5/model,6.5831895,8.446093
output/mlm_0_sim_cse_5/model,8.4640665,8.5307
output/mlm_0_sim_cse_5/model,8.49464,8.086193
output/mlm_0_sim_cse_5/model,7.701252,8.143678
output/mlm_0_sim_cse_5/model,6.065608,6.704118
output/mlm_0_sim_cse_5/model,7.1480417,9.261454
output/mlm_0_sim_cse_5/model,8.8051195,7.2871447
output/mlm_0_sim_cse_5/model,6.583832,10.435647
output/mlm_0_sim_cse_5/model,5.5109115,6.7831697
output/mlm_0_sim_cse_5/model,6.1917987,9.6206665
output/mlm_0_sim_cse_5/model,6.263422,10.240231
output/mlm_0_sim_cse_5/model,9.585988,8.674485
output/mlm_0_sim_cse_5/model,7.115468,9.032698
output/mlm_0_sim_cse_5/model,5.507606,6.783854
output/mlm_0_sim_cse_5/model,8.0845585,8.793644
output/mlm_0_sim_cse_5/model,6.7320294,7.4250536
output/mlm_0_sim_cse_5/model,6.8736186,7.9401627
output/mlm_0_sim_cse_5/model,7.144345,6.625076
output/mlm_0_sim_cse_5/model,6.8968296,10.660544
output/mlm_0_sim_cse_5/model,6.6352353,10.14228
output/mlm_0_sim_cse_5/model,6.945606,7.0934525
output/mlm_0_sim_cse_5/model,10.5096445,11.493946
output/mlm_0_sim_cse_5/model,6.7897058,10.074124
output/mlm_0_sim_cse_5/model,6.890212,10.016642
output/mlm_0_sim_cse_5/model,9.430703,7.713212
output/mlm_0_sim_cse_5/model,10.499635,2.6708171
output/mlm_0_sim_cse_5/model,7.134672,8.953866
output/mlm_0_sim_cse_5/model,7.739698,7.03884
output/mlm_0_sim_cse_5/model,6.765452,9.933678
output/mlm_0_sim_cse_5/model,5.4950385,6.7770877
output/mlm_0_sim_cse_5/model,7.886044,8.453045
output/mlm_0_sim_cse_5/model,9.109804,7.3488503
output/mlm_0_sim_cse_5/model,10.260127,8.993058
output/mlm_0_sim_cse_5/model,7.660832,9.50184
output/mlm_0_sim_cse_5/model,10.545432,11.487947
output/mlm_0_sim_cse_5/model,6.493258,10.0187235
output/mlm_0_sim_cse_5/model,7.6486034,7.862459
output/mlm_0_sim_cse_5/model,6.144447,9.6269865
output/mlm_0_sim_cse_5/model,7.351797,9.357738
output/mlm_0_sim_cse_5/model,6.8273716,5.594628
output/mlm_0_sim_cse_5/model,6.955899,7.85052
output/mlm_0_sim_cse_5/model,6.673901,6.748604
output/mlm_0_sim_cse_5/model,8.560108,10.451714
output/mlm_0_sim_cse_5/model,9.486428,7.7229853
output/mlm_0_sim_cse_5/model,7.335374,9.451416
output/mlm_0_sim_cse_5/model,6.9174676,7.456535
output/mlm_0_sim_cse_5/model,5.513854,6.790471
output/mlm_0_sim_cse_5/model,6.836611,7.8803163
output/mlm_0_sim_cse_5/model,8.426088,6.87885
output/mlm_0_sim_cse_5/model,6.960059,6.4463277
output/mlm_0_sim_cse_5/model,3.8098092,12.091317
output/mlm_0_sim_cse_5/model,6.887599,9.83754
output/mlm_0_sim_cse_5/model,9.216532,8.159738
output/mlm_0_sim_cse_5/model,7.1973004,9.17384
output/mlm_0_sim_cse_5/model,6.471662,10.046273
output/mlm_0_sim_cse_5/model,9.946103,6.4503407
output/mlm_0_sim_cse_5/model,10.677217,9.819034
output/mlm_0_sim_cse_5/model,6.166866,9.597489
output/mlm_0_sim_cse_5/model,10.647852,11.009782
output/mlm_0_sim_cse_5/model,7.120875,5.6870933
output/mlm_0_sim_cse_5/model,7.7172136,9.238786
output/mlm_0_sim_cse_5/model,8.775568,7.3248353
output/mlm_0_sim_cse_5/model,6.437301,10.480034
output/mlm_0_sim_cse_5/model,9.013072,8.648006
output/mlm_0_sim_cse_5/model,8.98068,7.6788
output/mlm_0_sim_cse_5/model,9.186888,7.609945
output/mlm_0_sim_cse_5/model,6.419234,6.096
output/mlm_0_sim_cse_5/model,10.894439,10.862894
output/mlm_0_sim_cse_5/model,6.207756,10.1597
output/mlm_0_sim_cse_5/model,8.074765,5.93326
output/mlm_0_sim_cse_5/model,6.57672,10.037507
output/mlm_0_sim_cse_5/model,7.809538,8.002482
output/mlm_0_sim_cse_5/model,6.6575885,10.619832
output/mlm_0_sim_cse_5/model,10.8486,10.641664
output/mlm_0_sim_cse_5/model,10.900151,10.874657
output/mlm_0_sim_cse_5/model,8.095718,5.952063
output/mlm_0_sim_cse_5/model,8.7932005,7.217943
output/mlm_0_sim_cse_5/model,8.622427,6.496087
output/mlm_0_sim_cse_5/model,9.780218,8.25443
output/mlm_0_sim_cse_5/model,6.390121,8.942736
output/mlm_0_sim_cse_5/model,8.018052,8.074788
